league,name,season,dy,dob,age_sept_15,age_group,gp,ev_p1,ev_TOI
OHL,Shane Wright,2022,DY,2004-01-05,18.69,early,63,48,1255:02:00
OHL,David Goyette,2022,DY,2004-03-27,18.47,early,66,45,1020:08:00
OHL,Luca Del Bel Belluz,2022,DY,2003-11-10,18.85,late,68,38,1148:46:00
OHL,Cedrick Guindon,2022,DY,2004-04-21,18.4,early,68,38,1099:54:00
OHL,Bryce McConnell-Barker,2022,DY,2004-06-04,18.28,early,68,34,1066:24:00
OHL,Beau Jelsma,2022,DY,2004-04-28,18.38,early,68,33,910:47:00
OHL,Matthew Poitras,2022,DY,2004-03-10,18.51,early,68,32,1036:04:00
OHL,Zakary Lavoie,2022,DY,2004-03-13,18.51,early,64,32,1069:06:00
OHL,Danny Zhilkin,2022,DY,2003-12-19,18.74,late,66,31,1030:16:00
OHL,Kocha Delic,2022,DY,2004-03-11,18.51,early,65,31,903:03:00
OHL,Evan Konyen,2022,DY,2004-02-22,18.56,early,66,29,889:02:00
OHL,Hunter Haight,2022,DY,2004-04-04,18.45,early,63,27,927:42:00
OHL,Owen Beck,2022,DY,2004-02-03,18.62,early,68,26,1170:12:00
OHL,Jake Karabela,2022,DY,2004-03-07,18.52,early,68,19,993:15:00